id,name,original_season_id,real_name,dob,gender,hometown,location,type,miss_con,final_place,safe,win,high,btm,birth_year,age
Q100,Akashia,F10S01,Eric Flint,"February 19, 1985",,,"Cleveland, OH, USA",Pageant,0.0,7,0,0,0,2,1985.0,38.0
Q101,BeBe Zahara Benet,F10S01,Nea Marshall Kudi Ngwa,"March 20, 1981",Male,"Yaoundé, Cameroon","Minneapolis, MN, USA",Pageant,0.0,1,2,3,1,1,1981.0,42.0
Q102,Jade,F10S01,David Sotomayor,"November 18, 1984",,"Chicago, IL, USA",,Comedy,0.0,6,2,0,0,0,1984.0,39.0
Q103,Nina Flowers,F10S01,Jorge Luis Flores Sánchez,"February 22, 1974",Male,"Denver, CO, USA","Dallas, TX, USA",Club,1.0,2,1,1,4,0,1974.0,49.0
Q104,Ongina,F10S01,Ryan Ong Palao,"January 6, 1982",,"Seattle, WA, USA","Los Angeles, CA, USA",Look,0.0,5,0,2,2,0,1982.0,41.0
Q105,Rebecca Glasscock,F10S01,Javier José Rivera Nieves,"May 25, 1982",Male,"Ft. Lauderdale, FL, USA",,Look,0.0,3,0,1,2,2,1982.0,41.0
Q106,Shannel,F10S01,Bryan Watkins,"July 3, 1979",Male,"Las Vegas, NV, USA",,Look,0.0,4,1,0,2,1,1979.0,44.0
Q107,Tammie Brown,F10S01,Keith Glen Schubert,"September 15, 1980",Male,,"Long Beach, CA, USA",Comedy,0.0,8,1,0,0,0,1980.0,43.0
Q108,"Victoria ""Porkchop"" Parker",F10S01,Victor Bowling,"January 16, 1969",,"Raleigh, NC, USA","Los Angeles, CA, USA",Pageant,0.0,9,0,0,0,0,1969.0,54.0
Q109,Jessica Wild,F10S02,José David Sierra,"June 10, 1980",,"Caguas, Puerto Rico","Boston, MA, USA",Pageant,0.0,6,2,1,3,0,1980.0,43.0
Q110,Jujubee,F10S02,Airline Inthyrath(LO: ແອລາຍ ອິນທິຣາດ)[1],"June 21, 1984",,"Boston, MA, USA",,Comedy,0.0,3,2,0,3,3,1984.0,39.0
Q111,Kylie Sonique Love,F10S02,Kylie Sonique,"May 2, 1983",Female,"Albany, GA, USA","Las Vegas, NV, USA",Club,0.0,9,2,0,0,0,1983.0,40.0
Q112,Morgan McMichaels,F10S02,Thomas White,"May 28, 1981",,"Dumbarton, Scotland, UK","Ontario, CA, USA",Spooky,0.0,8,2,1,0,1,1981.0,42.0
Q113,Mystique Summers Madison,F10S02,Donté Sims,"March 28, 1984",,"Chicago, IL, USA","Fort Worth, TX, USA",Pageant,0.0,10,0,0,1,0,1984.0,39.0
Q114,Nicole Paige Brooks,F10S02,Brian Christopher Pryor,"July 9, 1972",,"Marietta, GA, USA","Atlanta, GA, USA",Pageant,0.0,11,1,0,0,0,1972.0,51.0
Q115,Pandora Boxx,F10S02,Michael Steck,"May 2, 1972",Genderfluid,"Rochester, NY, USA","Los Angeles, CA, USA",Look,1.0,5,2,0,4,0,1972.0,51.0
