Title,Artist
Last Night,Morgan Wallen
Kill Bill,SZA
Flowers,Miley Cyrus
Ella Baila Sola,Eslabon Armado X Peso Pluma
Calm Down,Rema & Selena Gomez
Creepin',"Metro Boomin, The Weeknd & 21 Savage"
Un x100to,Grupo Frontera X Bad Bunny
Favorite Song,Toosii
Die For You,The Weeknd & Ariana Grande
Anti-Hero,Taylor Swift
Fast Car,Luke Combs
"Boy's A Liar, Pt. 2",PinkPantheress & Ice Spice
La Bebe,Yng Lvcas x Peso Pluma
Sure Thing,Miguel
Search & Rescue,Drake
Rock And A Hard Place,Bailey Zimmerman
Cupid,Fifty Fifty
You Proof,Morgan Wallen
Eyes Closed,Ed Sheeran
Players,Coi Leray
Chemical,Post Malone
Something In The Orange,Zach Bryan
As It Was,Harry Styles
Thinkin' Bout Me,Morgan Wallen
Dancin' In The Country,Tyler Hubbard
I'm Good (Blue),David Guetta & Bebe Rexha
One Thing At A Time,Morgan Wallen
Thank God,Kane Brown With Katelyn Brown
Thought You Should Know,Morgan Wallen
Tennessee Orange,Megan Moroney
Snooze,SZA
Under The Influence,Chris Brown
Princess Diana,Ice Spice & Nicki Minaj
Por Las Noches,Peso Pluma
Karma,Taylor Swift
PRC,Peso Pluma X Natanael Cano
Unholy,Sam Smith & Kim Petras
Just Wanna Rock,Lil Uzi Vert
Next Thing You Know,Jordan Davis
Wild As Her,Corey Kent
Slut Me Out,NLE Choppa
Spin Bout U,Drake & 21 Savage
Superhero (Heroes & Villains),"Metro Boomin, Future & Chris Brown"
TQG,Karol G x Shakira
AMG,"Gabito Ballesteros, Peso Pluma & Natanael Cano"
See You Again,"Tyler, The Creator Featuring Kali Uchis"
Handle On You,Parker McCollum
Rich Flex,Drake & 21 Savage
Escapism,RAYE Featuring 070 Shake
Lavender Haze,Taylor Swift
Double Fantasy,The Weeknd Featuring Future
Love You Anyway,Luke Combs
Daylight,David Kushner
Area Codes,Kali
Chanel,Becky G & Peso Pluma
El Azul,Junior H x Peso Pluma
Bebe Dame,Fuerza Regida X Grupo Frontera
El Gordo Trae El Mando,Chino Pacas
Go Hard,Lil Baby
Nonsense,Sabrina Carpenter
Cowgirls,Morgan Wallen Featuring ERNEST
Need A Favor,Jelly Roll
Low Down,Lil Baby
Human,Cody Johnson
Ain't That Some,Morgan Wallen
Religiously,Bailey Zimmerman
ICU,Coco Jones
Fight The Feeling,Rod Wave
Red Ruby Da Sleeze,Nicki Minaj
Memory Lane,Old Dominion
Beso,Rosalia & Rauw Alejandro
Fragil,Yahritza y Su Esencia x Grupo Frontera
Que Vuelvas,Carin Leon X Grupo Frontera
It Matters To Her,Scotty McCreery
I Wrote The Book,Morgan Wallen
Trance,"Metro Boomin, Travis Scott & Young Thug"
Yandel 150,Yandel & Feid
Painting Pictures,Superstar Pride
Everything I Love,Morgan Wallen
Ch y La Pizza,Fuerza Regida X Natanael Cano
Man Made A Bar,Morgan Wallen Featuring Eric Church
Waffle House,Jonas Brothers
Mejor Que Yo,"Anuel AA, Mambo Kingz & DJ Luian"
In Ha Mood,Ice Spice
Igualito A Mi Apa,Fuerza Regida & Peso Pluma
Moonlight,Kali Uchis
Forever,Lil Baby Featuring Fridayy
"You, Me, & Whiskey",Justin Moore & Priscilla Block
Sunrise,Morgan Wallen
Mathematical Disrespect,Lil Mabu
Ceilings,Lizzy McAlpine
Shake Sumn,DaBaby
People,Libianca
Never Felt So Alone,Labrinth
Happy,NF
Wreckage,Nate Smith
Curtains,Ed Sheeran
What It Is (Block Boy),Doechii Featuring Kodak Black
Peaches,Jack Black
Private Landing,Don Toliver Featuring Justin Bieber & Future
