song,artist,album_release_date,release_year,release_decade,id,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,type,uri,track_href,analysis_url,duration_ms,time_signature
Supermodel (You Better Work),RuPaul,1993-06-08,1993,90,36Rpz4MZQhGknLEmTmHr8v,0.792,0.562,7,-11.379,1,0.0929,0.0152,7.53e-05,0.428,0.592,126.221,audio_features,spotify:track:36Rpz4MZQhGknLEmTmHr8v,https://api.spotify.com/v1/tracks/36Rpz4MZQhGknLEmTmHr8v,https://api.spotify.com/v1/audio-analysis/36Rpz4MZQhGknLEmTmHr8v,239933,4
We Break the Dawn,Michelle Williams,2008-04-15,2008,00,01drW5lmrI1SWrSkDzivsj,0.708,0.635,4,-5.304,0,0.0389,0.0324,0.000495,0.109,0.387,110.978,audio_features,spotify:track:01drW5lmrI1SWrSkDzivsj,https://api.spotify.com/v1/tracks/01drW5lmrI1SWrSkDzivsj,https://api.spotify.com/v1/audio-analysis/01drW5lmrI1SWrSkDzivsj,236147,4
The Greatest Love of All,Whitney Houston,1985-02-14,1985,80,6yJxCltgtmGxIgKOS6ndnu,0.502,0.305,9,-16.011,1,0.0339,0.484,3.55e-06,0.117,0.248,131.242,audio_features,spotify:track:6yJxCltgtmGxIgKOS6ndnu,https://api.spotify.com/v1/tracks/6yJxCltgtmGxIgKOS6ndnu,https://api.spotify.com/v1/audio-analysis/6yJxCltgtmGxIgKOS6ndnu,291400,4
Would I Lie to You?,Eurythmics,1985-04-29,1985,80,1lJZSsMoWEbrgaY6CxPMf8,0.613,0.912,2,-4.638,1,0.0328,0.0378,3.65e-05,0.52,0.733,131.968,audio_features,spotify:track:1lJZSsMoWEbrgaY6CxPMf8,https://api.spotify.com/v1/tracks/1lJZSsMoWEbrgaY6CxPMf8,https://api.spotify.com/v1/audio-analysis/1lJZSsMoWEbrgaY6CxPMf8,268240,4
Stronger,Britney Spears,2000-05-16,2000,00,5QhBKPqsnX1uY9fZNaAtZg,0.707,0.923,11,-3.957,1,0.0521,0.128,0.000437,0.273,0.842,108.049,audio_features,spotify:track:5QhBKPqsnX1uY9fZNaAtZg,https://api.spotify.com/v1/tracks/5QhBKPqsnX1uY9fZNaAtZg,https://api.spotify.com/v1/audio-analysis/5QhBKPqsnX1uY9fZNaAtZg,203000,4
Shackles (Praise You),Mary Mary,2000,2000,00,7JKEA8xYDoFp4q0QBW2PGg,0.779,0.834,7,-2.773,1,0.162,0.0343,0.0,0.0886,0.8,100.46,audio_features,spotify:track:7JKEA8xYDoFp4q0QBW2PGg,https://api.spotify.com/v1/tracks/7JKEA8xYDoFp4q0QBW2PGg,https://api.spotify.com/v1/audio-analysis/7JKEA8xYDoFp4q0QBW2PGg,198347,4
Cover Girl (Put the Bass in Your Walk),RuPaul,2009-04-07,2009,00,1mI23ynlBTWed9Xh5T4G5e,0.907,0.779,6,-4.369,0,0.0957,0.00745,9.47e-06,0.611,0.761,127.978,audio_features,spotify:track:1mI23ynlBTWed9Xh5T4G5e,https://api.spotify.com/v1/tracks/1mI23ynlBTWed9Xh5T4G5e,https://api.spotify.com/v1/audio-analysis/1mI23ynlBTWed9Xh5T4G5e,183013,4
Jealous of My Boogie (Gomi and RasJek Edit),RuPaul,2009-06-30,2009,00,7Co4d4AL8o5hUIN1vnqQz0,0.821,0.656,2,-5.647,0,0.0483,0.00531,0.0,0.29,0.789,124.963,audio_features,spotify:track:7Co4d4AL8o5hUIN1vnqQz0,https://api.spotify.com/v1/tracks/7Co4d4AL8o5hUIN1vnqQz0,https://api.spotify.com/v1/audio-analysis/7Co4d4AL8o5hUIN1vnqQz0,217800,4
My Lovin' (You're Never Gonna Get It),En Vogue,1992-03-24,1992,90,3R97rNX7JnmshCWBwOSFet,0.767,0.839,8,-5.519,1,0.0613,0.0318,9.31e-06,0.111,0.461,98.055,audio_features,spotify:track:3R97rNX7JnmshCWBwOSFet,https://api.spotify.com/v1/tracks/3R97rNX7JnmshCWBwOSFet,https://api.spotify.com/v1/audio-analysis/3R97rNX7JnmshCWBwOSFet,281613,4
I Hear You Knocking,Wynonna Judd,2009-02-03,2009,00,1LFvcyg3bpq7AffqwuZ13K,0.685,0.933,9,-3.935,1,0.0472,0.0558,8.04e-06,0.276,0.562,108.047,audio_features,spotify:track:1LFvcyg3bpq7AffqwuZ13K,https://api.spotify.com/v1/tracks/1LFvcyg3bpq7AffqwuZ13K,https://api.spotify.com/v1/audio-analysis/1LFvcyg3bpq7AffqwuZ13K,175600,4
Two of Hearts,Stacey Q,1986-08-18,1986,80,2dURQIBrw3XcHyVZlfdpC1,0.824,0.506,5,-7.12,0,0.0291,0.124,0.0,0.113,0.654,130.717,audio_features,spotify:track:2dURQIBrw3XcHyVZlfdpC1,https://api.spotify.com/v1/tracks/2dURQIBrw3XcHyVZlfdpC1,https://api.spotify.com/v1/audio-analysis/2dURQIBrw3XcHyVZlfdpC1,239693,4
Carry On,Martha Wash,1992-11-01,1992,90,2yZax79pOrYuyIFVW2cZY2,0.735,0.197,3,-13.378,0,0.537,0.768,0.000276,0.296,0.383,147.899,audio_features,spotify:track:2yZax79pOrYuyIFVW2cZY2,https://api.spotify.com/v1/tracks/2yZax79pOrYuyIFVW2cZY2,https://api.spotify.com/v1/audio-analysis/2yZax79pOrYuyIFVW2cZY2,129720,4
Black Velvet,Alannah Myles,1989-03-14,1989,80,1KU5EHSz04JhGg3rReGJ0N,0.754,0.366,8,-10.07,1,0.0312,0.273,9.04e-05,0.106,0.469,91.147,audio_features,spotify:track:1KU5EHSz04JhGg3rReGJ0N,https://api.spotify.com/v1/tracks/1KU5EHSz04JhGg3rReGJ0N,https://api.spotify.com/v1/audio-analysis/1KU5EHSz04JhGg3rReGJ0N,287440,4
He's the Greatest Dancer,Sister Sledge,1979-02-15,1979,70,5WwRKYnVy9dekqXAGPbAvU,0.7,0.816,7,-9.711,0,0.044,0.00115,0.00123,0.0901,0.838,113.244,audio_features,spotify:track:5WwRKYnVy9dekqXAGPbAvU,https://api.spotify.com/v1/tracks/5WwRKYnVy9dekqXAGPbAvU,https://api.spotify.com/v1/audio-analysis/5WwRKYnVy9dekqXAGPbAvU,375400,4
Shake Your Love,Debbie Gibson,1987,1987,80,6gM3uxq9TPkms83bTSlK10,0.784,0.746,11,-10.681,0,0.0477,0.405,0.0,0.0568,0.83,120.55,audio_features,spotify:track:6gM3uxq9TPkms83bTSlK10,https://api.spotify.com/v1/tracks/6gM3uxq9TPkms83bTSlK10,https://api.spotify.com/v1/audio-analysis/6gM3uxq9TPkms83bTSlK10,222933,4
Something He Can Feel,Aretha Franklin,1976,1976,70,4IOtu2nO8Us3kPtEZmUr0k,0.613,0.393,0,-13.305,1,0.0442,0.224,0.0,0.45,0.64,107.72,audio_features,spotify:track:4IOtu2nO8Us3kPtEZmUr0k,https://api.spotify.com/v1/tracks/4IOtu2nO8Us3kPtEZmUr0k,https://api.spotify.com/v1/audio-analysis/4IOtu2nO8Us3kPtEZmUr0k,381827,3
Believe,Cher,1998,1998,90,2goLsvvODILDzeeiT4dAoR,0.652,0.917,6,-6.72,1,0.0548,0.0082,0.0,0.0509,0.459,132.975,audio_features,spotify:track:2goLsvvODILDzeeiT4dAoR,https://api.spotify.com/v1/tracks/2goLsvvODILDzeeiT4dAoR,https://api.spotify.com/v1/audio-analysis/2goLsvvODILDzeeiT4dAoR,239027,4
