season_id,contestant,safe,win,high,low,btm
F10S01,Akashia,0,0,0,0,2
F10S01,Be Be Zahara Benet,2,3,1,0,1
F10S01,Jade,2,0,0,1,0
F10S01,Nina Flowers,1,1,4,0,0
F10S01,Ongina,0,2,2,0,0
F10S01,Rebecca Glasscock,0,1,2,1,2
F10S01,Shannel,1,0,2,1,1
F10S01,Tammie Brown,1,0,0,0,0
F10S01,"Victoria ""Porkchop"" Parker",0,0,0,0,0
F10S02,Jessica Wild,2,1,3,0,0
F10S02,Jujubee,2,0,3,1,3
F10S02,Morgan Mc Michaels,2,1,0,0,1
F10S02,Mystique Summers Madison,0,0,1,1,0
F10S02,Nicole Paige Brooks,1,0,0,0,0
F10S02,Pandora Boxx,2,0,4,1,0
F10S02,Raven,2,2,3,0,2
F10S02,Sahara Davenport,2,1,0,0,2
F10S02,Shangela Laquifa Wadley,0,0,0,0,0
F10S02,Sonique,2,0,0,1,0
F10S02,Tatianna,4,1,1,1,1
F10S02,Tyra Sanchez,1,4,4,1,0
F10S03,Alexis Mateo,2,3,2,2,3
F10S03,Carmen Carrera,3,0,1,3,1
F10S03,Delta Work,3,0,1,0,2
F10S03,India Ferrah,2,0,0,0,1
F10S03,Manila Luzon,3,3,4,1,1
F10S03,Mariah,1,0,1,2,0
F10S03,Mimi Imfurst,0,0,2,0,0
F10S03,Phoenix,1,0,0,0,0
F10S03,Raja,3,4,4,1,1
F10S03,Shangela,2,2,2,1,2
F10S03,Stacy Layne Matthews,1,1,2,0,1
F10S03,Venus D-Lite,0,0,0,0,0
F10S03,Yara Sofia,2,1,6,1,1
F10S04,Alisa Summers,0,0,0,0,0
F10S04,Chad Michaels,3,2,4,1,1
F10S04,Dida Ritz,5,0,0,2,1
F10S04,Jiggly Caliente,3,0,1,0,2
F10S04,Kenya Michaels,1,0,1,2,0
F10S04,Lashauwn Beyond,0,0,1,0,0
F10S04,Latrice Royale,4,2,1,1,2
F10S04,Madame La Queer,1,1,0,1,0
F10S04,Milan,2,0,1,0,2
F10S04,Phi Phi O'Hara,3,2,3,2,1
F10S04,Sharon Needles,2,5,3,1,1
F10S04,The Princess,0,0,1,0,1
F10S04,Willam,3,2,2,0,1
F10S05,Alaska,2,2,4,3,0
F10S05,Alyssa Edwards,4,1,0,1,2
F10S05,Coco Montrese,4,1,0,1,3
F10S05,Detox,5,1,1,1,2
F10S05,Honey Mahogany,2,0,1,0,0
F10S05,Ivy Winters,1,1,3,2,0
F10S05,Jade Jolie,4,0,0,1,0
F10S05,Jinkx Monsoon,2,3,6,0,1
F10S05,Lineysha Sparx,2,1,1,0,0
F10S05,Monica Beverly Hillz,1,0,0,0,1
F10S05,Penny Tration,0,0,0,0,0
F10S05,Roxxxy Andrews,1,2,5,2,1
F10S05,Serena Cha Cha,0,0,0,0,1
F10S05,Vivienne Pinay,1,0,1,1,0
F10S06,Adore Delano,1,3,2,2,2
F10S06,April Carrión,0,0,1,0,1
F10S06,Ben De La Creme,2,2,3,1,1
F10S06,Bianca Del Rio,2,4,5,0,0
F10S06,Courtney Act,5,2,1,2,0
F10S06,Darienne Lake,2,1,1,3,3
F10S06,Gia Gunn,2,0,1,0,0
F10S06,Joslyn Fox,2,0,2,3,1
F10S06,Kelly Mantle,0,0,0,0,0
F10S06,Laganja Estranja,4,1,0,0,1
F10S06,Magnolia Crawford,0,0,0,0,0
F10S06,Milk,1,0,2,1,0
F10S06,Trinity K. Bonet,1,0,4,0,2
F10S06,Vivacious,0,0,0,0,1
F10S07,Ginger Minj,3,3,3,0,2
F10S07,Jaidynn Diore Fierce,2,0,3,0,2
F10S07,Jasmine Masters,1,0,0,1,0
F10S07,Kandy Ho,2,0,0,1,2
F10S07,Katya,3,2,4,0,1
F10S07,Kennedy Davenport,3,2,4,0,2
F10S07,Max,4,2,0,0,0
F10S07,Miss Fame,2,0,2,4,0
F10S07,Mrs. Kasha Davis,2,0,2,0,0
F10S07,Pearl,5,2,1,1,2
F10S07,Sasha Belle,0,0,0,1,0
F10S07,Tempest Du Jour,0,0,0,0,0
F10S07,Trixie Mattel,2,0,2,0,0
F10S07,Violet Chachki,4,4,2,2,0
F10S08,Acid Betty,1,0,3,0,0
F10S08,Bob The Drag Queen,4,4,0,0,1
F10S08,Chi Chi De Vayne,3,1,1,1,2
F10S08,Cynthia Lee Fontaine,2,0,0,0,0
F10S08,Dax Exclamation Point,1,0,0,0,0
F10S08,Derrick Barry,1,1,2,2,1
F10S08,Kim Chi,2,2,2,2,0
F10S08,Laila Mc Queen,0,0,0,0,1
F10S08,Naomi Smalls,2,1,3,1,1
F10S08,Naysha Lopez,1,0,0,0,0
F10S08,Robbie Turner,1,1,0,2,1
F10S08,Thorgy Thor,3,0,3,0,0
F10S09,Aja,4,0,1,0,1
